id,nombre,categoria,tipo,referencia,precio,,coste,activo
511,CINTA ANTID.1”x5yd BAÑO 7640NA,82,product,0182-0028,92.03,4.6015,87.4285,True
512,CINTA ANTID.1”x5yd NGRA 7634NA,82,product,0182-0029,92.03,4.6015,87.4285,True
513,CINTA ANTID.2”x5yd BAÑO 7641NA,82,product,0182-0018,116.87,5.8435,111.0265,True
514,CINTA ANTID.2”x5yd NGRA 7635NA,82,product,0182-0009,116.87,5.8435,111.0265,True
515,CINTA CEL.3M TRANS.1”X65m.#610,82,product,0183-0008,168.49,8.4245,160.0655,True
516,CINTA ELEC.3M #23 AUTOFUSIONAB,82,product,0187-0008,374.48,18.724,355.756,True
517,CINTA ELEC.3M ECON. 19X18Mt.,82,product,0187-0007,8.62,0.431,8.189,True
518,CINTA ELEC.SCOTCH F.V.018x20m.,82,product,0187-0019,358.32,17.916,340.404,True
519,CINTA ELEC.SUPER 33 10p+Guante,82,product,0187-0025,615.33,30.7665,584.5635,True
520,CINTA ELEC.SUPER 33 18x10m.,82,product,0187-0022,38.3,1.915,36.385,True
521,CINTA ELEC.SUPER 33 18x20m.,82,product,0187-0002,61.53,3.0765,58.4535,True
522,CINTA ELEC.SUPER 33+ 18x5m.,82,product,0187-0024,6.94,0.347,6.593,True
523,CINTA ELEC.TEMFLEX 19x18 AMAR.,82,product,0187-0010,17.98,0.899,17.081,True
524,CINTA ELEC.TEMFLEX 19x18 AZUL,82,product,0187-0011,17.98,0.899,17.081,True
525,CINTA ELEC.TEMFLEX 19x18 BCA.,82,product,0187-0012,17.98,0.899,17.081,True
526,CINTA ELEC.TEMFLEX 19x18 NEGRA,82,product,0187-0001,15,0.75,14.25,True
527,CINTA ELEC.TEMFLEX 19x18 ROJA,82,product,0187-0013,17.98,0.899,17.081,True
528,CINTA ELEC.TEMFLEX 19x18 VERDE,82,product,0187-0014,17.98,0.899,17.081,True
529,CINTA ELEC.TEMFLEX#1700 19X18m,82,product,0187-0009,18.62,0.931,17.689,True
530,CINTA EMP.CANELA  48x 50  365C,82,product,0188-0010,8.96,0.448,8.512,True
531,CINTA EMP.CANELA  48x150  365C,82,product,0188-0011,26.4,1.32,25.08,True
532,CINTA EMP.TRANSP. 48x 50  365T,82,product,0188-0012,8.97,0.4485,8.5215,True
533,CINTA EMP.TRANSP. 48x150  365T,82,product,0188-0013,26.16,1.308,24.852,True
534,CINTA ESPUMA GRIS 2297E  9mm.,82,product,0189-0003,40.44,2.022,38.418,True
535,CINTA ESPUMA GRIS 2299E 13mm.,82,product,0189-0004,43.33,2.1665,41.1635,True
536,CINTA ESPUMA/PROTECT 13mmX50mt,81,product,0565-0074,763.54,38.177,725.363,True
537,CINTA MARCAJE 2”x33m.764 Amari,82,product,0185-0011,43.27,2.1635,41.1065,True
538,CINTA MARCAJE 2”x33m.764 Azul,82,product,0185-0012,43.26,2.163,41.097,True
539,CINTA MARCAJE 2”x33m.764 Blanc,82,product,0185-0013,43.26,2.163,41.097,True
540,CINTA MARCAJE 2”x33m.764 Naran,82,product,0185-0010,43.26,2.163,41.097,True
541,CINTA MARCAJE 2”x33m.764 Roja,82,product,0185-0014,43.26,2.163,41.097,True
542,CINTA MARCAJE 2”x33m.764 Verde,82,product,0185-0015,43.26,2.163,41.097,True
543,CINTA MARCAJE 2”x33m.764Ngr/Am,82,product,0185-0016,43.26,2.163,41.097,True
544,CINTA P/DUCTO SCOTCH 48mmX10mt,82,product,0186-0008,22.47,1.1235,21.3465,True
545,CINTA P/DUCTO SCOTCH 48mmX50mt,82,product,0186-0009,73.04,3.652,69.388,True
546,CINTA P/DUCTO SCOTCH 48x50 3pz,82,product,0186-0010,189.78,9.489,180.291,True
547,CINTA P/DUCTO Trasp.1.88”x20yd,82,product,0186-0012,86.27,4.3135,81.9565,True
548,CINTA SAFETY WALK AMR.051x18mt,82,product,0182-0013,1108.7,55.435,1053.265,True
549,CINTA SAFETY WALK AMR.25X18.2M,82,product,0182-0012,513.74,25.687,488.053,True
550,CINTA SAFETY WALK NGO.051x18mt,82,product,0182-0016,962.98,48.149,914.831,True
551,CINTA SAFETY WALK NGO.19X18.2M,82,product,0182-0001,364.45,18.2225,346.2275,True
552,CINTA SAFETY WALK NGO.25X18.2M,82,product,0182-0002,481.5,24.075,457.425,True
553,CINTA SAFETY WALK Resil.Med.2”,82,product,0182-0014,888.23,44.4115,843.8185,True
554,DESPACH.3M CINTA EMPAQ. HB-903,82,product,0341-0148,188.27,9.4135,178.8565,True
555,MASKING TAPE 3M #000     18X55,82,product,0565-0006,19.69,0.9845,18.7055,True
556,MASKING TAPE 3M #103 Econ12X50,82,product,0565-0079,7.65,0.3825,7.2675,True
557,MASKING TAPE 3M #103 Econ18X50,82,product,0565-0080,10.86,0.543,10.317,True
558,MASKING TAPE 3M #103 Econ24X50,82,product,0565-0081,14.25,0.7125,13.5375,True
559,MASKING TAPE 3M #103 Econ36X50,82,product,0565-0082,22,1.1,20.9,True
560,MASKING TAPE 3M #103 Econ48X50,82,product,0565-0083,29.01,1.4505,27.5595,True
561,MASKING TAPE 3M #203     12X50,82,product,0565-0008,12.04,0.602,11.438,True
562,MASKING TAPE 3M #203     18X50,82,product,0565-0009,17.72,0.886,16.834,True
563,MASKING TAPE 3M #203     24X50,82,product,0565-0010,22.25,1.1125,21.1375,True
564,MASKING TAPE 3M #203     36X50,82,product,0565-0011,36.95,1.8475,35.1025,True
565,MASKING TAPE 3M #203     48X50,82,product,0565-0012,49.01,2.4505,46.5595,True
566,MASKING TAPE 3M #203     72X50,82,product,0565-0072,72.89,3.6445,69.2455,True
567,MASKING TAPE 3M #2090     3/4”,82,product,0565-0014,28.49,1.4245,27.0655,True
568,MASKING TAPE 3M #2090   1 ”,82,product,0565-0013,40.88,2.044,38.836,True
569,MASKING TAPE 3M #2090   1 1/2”,82,product,0565-0069,54.13,2.7065,51.4235,True
570,MASKING TAPE 3M #2090   2 ”,82,product,0565-0070,75.96,3.798,72.162,True
571,MASKING TAPE 3M #2090 1” c/9pz,82,product,0565-0078,208.45,10.4225,198.0275,True
572,MASKING TAPE 3M #2207    12X50,82,product,0565-0016,8.37,0.4185,7.9515,True
573,MASKING TAPE 3M #2207    18X50,82,product,0565-0017,12.6,0.63,11.97,True
574,MASKING TAPE 3M #2207    24X50,82,product,0565-0018,17.4,0.87,16.53,True
575,MASKING TAPE 3M #2207    36X50,82,product,0565-0019,25.21,1.2605,23.9495,True
576,MASKING TAPE 3M #2207    48X50,82,product,0565-0020,33.48,1.674,31.806,True
577,MASKING TAPE 3M #2308    18X55,81,product,0565-0023,30.98,1.549,29.431,True
578,MASKING TAPE 3M #2308    36X50,81,product,0565-0025,62.69,3.1345,59.5555,True
579,MASKING TAPE 3M #2308    48X50,81,product,0565-0026,71.97,3.5985,68.3715,True
580,MASKING TAPE 3M #2308 15mmX45m,81,product,0565-0071,22.35,1.1175,21.2325,True
581,MASKING TAPE 3M #2308 18mmX55m,81,product,0565-0024,32.06,1.603,30.457,True
582,MASKING TAPE 3M #2308 48mmX55m,81,product,0565-0027,84.7,4.235,80.465,True
583,MASKING TAPE 3M #233+     6X55,81,product,0565-0028,22.67,1.1335,21.5365,True
584,MASKING TAPE 3M #233+    12X55,81,product,0565-0029,29.29,1.4645,27.8255,True
585,MASKING TAPE 3M #233+    15X50,81,product,0565-0067,30.87,1.5435,29.3265,True
586,MASKING TAPE 3M #233+    18X55,81,product,0565-0030,37.99,1.8995,36.0905,True
587,MASKING TAPE 3M #233+    24X55,81,product,0565-0031,58.44,2.922,55.518,True
588,MASKING TAPE 3M #233+    36X55,81,product,0565-0032,87.71,4.3855,83.3245,True
589,MASKING TAPE 3M #233+    48X55,81,product,0565-0033,117,5.85,111.15,True
590,MASKING TAPE 3M TR.#6349 50X10,82,product,0565-0034,207.52,10.376,197.144,True
591,ALMOHADILLA HP-HP U.FINA  7448,81,product,0036-0020,9.52,0.476,9.044,True
592,ALMOHADILLA IND.USO GRL.  7447,81,product,0036-0016,10,0.5,9.5,True
593,ESPONJA SUPER ABSORBENTE C/2pz,82,product,0994-0001,19.51,0.9755,18.5345,True
594,FIBRA 3M ESPON.70x114mm. c/2pz,82,product,0354-0028,11,0.55,10.45,True
595,FIBRA SCOTCH BRITE BLANCA P-66,82,product,0354-0013,9.54,0.477,9.063,True
596,FIBRA SCOTCH BRITE ESPONJ P-0,82,product,0354-0041,13.55,0.6775,12.8725,True
597,FIBRA SCOTCH BRITE ESPONJ P-94,82,product,0354-0014,12.71,0.6355,12.0745,True
598,FIBRA SCOTCH BRITE GDE.A/LIMON,82,product,0354-0015,12.91,0.6455,12.2645,True
599,FIBRA SCOTCH BRITE GDE.ES.A/LI,82,product,0354-0016,20.84,1.042,19.798,True
600,FIBRA SCOTCH BRITE GIG.A/LIMON,82,product,0354-0017,21.57,1.0785,20.4915,True
601,FIBRA SCOTCH BRITE NEGRA  P-76,82,product,0354-0018,14,0.7,13.3,True
602,FIBRA SCOTCH BRITE P-46,82,product,0354-0039,8.85,0.4425,8.4075,True
603,FIBRA SCOTCH BRITE P-94 + 2000,82,product,0354-0038,16.68,0.834,15.846,True
604,FIBRA SCOTCH BRITE VERDE  P-96,82,product,0354-0019,10.85,0.5425,10.3075,True
605,FIBRA SCOTCH BRITE VINO   P-96,82,product,0354-0021,10.94,0.547,10.393,True
606,ARNES P/RESPIRADOR s6000  6281,82,product,1205-0002,181.45,9.0725,172.3775,True
607,CARTUCHO MIXTO 3M    3311LA-55,82,product,0563-0019,118.61,5.9305,112.6795,True
608,CARTUCHO P/AMONIACO LAM.  6004,82,product,0563-0013,118.6,5.93,112.67,True
609,CARTUCHO P/GASES E-CARE   6002,82,product,0563-0012,109.55,5.4775,104.0725,True
610,CARTUCHO P/PARTIC. P100  7093C,82,product,0563-0014,115.83,5.7915,110.0385,True
611,CARTUCHO P/VAP.ORG.ACIDOS 6003,82,product,0563-0011,107.32,5.366,101.954,True
612,CARTUCHO P/VAPORES ORG.  R6001,82,product,0563-0001,97.29,4.8645,92.4255,True
613,CHALECO 3M AMARILLO LIMON,82,product,0995-0003,247.81,12.3905,235.4195,True
614,CHALECO 3M DE MALLA AMAR.LIMON,82,product,0995-0009,126.24,6.312,119.928,True
615,CHALECO 3M DE MALLA ROJO-NJA.,82,product,0995-0004,126.24,6.312,119.928,True
616,FILTRO 3M  N95     R5N11,82,product,0563-0008,27.46,1.373,26.087,True
617,FILTRO 3M  P95     5P71,82,product,0563-0009,30.26,1.513,28.747,True
618,GUANTE COMFORT GRIP CutRes.Gde,82,product,0393-0008,312.22,15.611,296.609,True
619,GUANTE COMFORT GRIP U.GRAL.GDE,82,product,0393-0005,95,4.75,90.25,True
620,GUANTE COMFORT GRIP U.GRAL.XL,82,product,0393-0006,97.53,4.8765,92.6535,True
621,GUANTE NITRILO COMFORTGRIP GDE,82,product,0393-0003,95,4.75,90.25,True
622,GUANTE SATINADO 3M AMAR.  MED.,82,product,0392-0030,12.59,0.6295,11.9605,True
623,GUANTE SATINADO 3M AMAR. GDE.,82,product,0392-0031,12.59,0.6295,11.9605,True
624,GUANTE SATINADO 3M AZUL  MED.,82,product,0392-0032,12.59,0.6295,11.9605,True
625,GUANTE SATINADO 3M AZUL GDE.,82,product,0392-0033,12.59,0.6295,11.9605,True
626,GUANTE SATINADO 3M ROJO  MED.,82,product,0392-0034,12.59,0.6295,11.9605,True
627,GUANTE SATINADO 3M ROJO GDE.,82,product,0392-0025,12.59,0.6295,11.9605,True
628,GUANTE SATINADO 3M VERDE  MED.,82,product,0392-0035,12.59,0.6295,11.9605,True
629,GUANTE SATINADO 3M VERDE GDE.,82,product,0392-0036,12.59,0.6295,11.9605,True
630,LENTE LIGHT VISION MICA CLARA,82,product,0443-0014,216.17,10.8085,205.3615,True
631,LENTE VIRTUA AP MICA CLARA,82,product,0443-0022,43.38,2.169,41.211,True
632,LENTE VIRTUA AP MICA GRIS,82,product,0443-0023,31.79,1.5895,30.2005,True
633,LENTE VIRTUA CLASICO S/RECUBR.,82,product,0443-0010,20.74,1.037,19.703,True
634,LENTE VIRTUA PATILLAS GRISES,82,product,0443-0011,31.28,1.564,29.716,True
635,LENTE VIRTUA PLUS MICA CLARA,82,product,0443-0008,47.12,2.356,44.764,True
636,LENTE VIRTUA PLUS MICA GRIS,82,product,0443-0009,48.47,2.4235,46.0465,True
637,MASCARILLA P/PARTICULAS  R8515,82,product,0562-0010,54.32,2.716,51.604,True
638,MASCARILLA PART.N95 PLEG.NIOSH,82,product,0562-0012,8.75,0.4375,8.3125,True
639,MASCARILLA POLVOS    8210 PLUS,82,product,0562-0027,19.49,0.9745,18.5155,True
640,MASCARILLA POLVOS NOTOX.R9002M,82,product,0562-0013,8.08,0.404,7.676,True
641,MASCARILLA POLVOS TOXIC. R8210,82,product,0562-0014,18.23,0.9115,17.3185,True
642,MASCARILLA SELLO FAC.N95 R8511,82,product,0562-0015,35.68,1.784,33.896,True
643,MASCARILLA VAP.ORGANICOS R8247,82,product,0562-0017,48.04,2.402,45.638,True
644,MASCARILLA VFLEX PLEG.N95 9105,82,product,0562-0018,9.26,0.463,8.797,True
645,OREJERA 3M  1436,82,product,0827-0008,150.3,7.515,142.785,True
646,RESPIRADOR 3M P95 VAP.ORG.8577,82,product,0562-0022,65.87,3.2935,62.5765,True
647,RESPIRADOR CARA COMP. MED.6800,82,product,0562-0019,2597.67,129.8835,2467.7865,True
648,RESPIRADOR MEDIA CARA MED.3200,82,product,0562-0024,159.15,7.9575,151.1925,True
649,RESPIRADOR MEDIA CARA MED.6200,82,product,0562-0009,220.46,11.023,209.437,True
650,RETENEDOR P/FILTRO       R0501,82,product,0563-0010,31.89,1.5945,30.2955,True
651,TAPON AUDITIVO C/CORDON  1290,82,product,0827-0006,15.21,0.7605,14.4495,True
652,TAPON AUDITIVO C/CORDON  R1110,82,product,0827-0001,4.35,0.2175,4.1325,True
653,TAPON AUDITIVO S/CORDON  R1100,82,product,0827-0002,1.64,0.082,1.558,True
654,TAPON ULTRAFIT 27 C/CORDON8002,82,product,0827-0007,11.83,0.5915,11.2385,True
655,TAPON ULTRAFIT C/C ECONOP.4014,82,product,0827-0005,13.57,0.6785,12.8915,True
656,TAPON ULTRAFIT C/CORDON   4002,82,product,0827-0003,15.78,0.789,14.991,True
657,TRAJE SEG.BCO.TIPO 5/6 2XL4510,82,product,0995-0007,73.24,3.662,69.578,True
658,TRAJE SEG.NGR.TIPO 5/6 L  4510,82,product,0995-0011,137.05,6.8525,130.1975,True
659,AFIX  3018 CONTACTO ECO. 125ml,83,product,0019-0070,18.07,0.9035,17.1665,True
660,AFIX  3018 CONTACTO ECO. 250ml,83,product,0019-0071,24.31,1.2155,23.0945,True
661,AFIX  3018 CONTACTO ECO. 500ml,83,product,0019-0072,37.61,1.8805,35.7295,True
662,AFIX  3018 CONTACTO ECO.1 Lt.,83,product,0019-0073,60.51,3.0255,57.4845,True
663,AFIX  3018 CONTACTO ECO.10 Lt.,83,product,0019-0074,447.09,22.3545,424.7355,True
664,AFIX  4400 BLANCO MULTIUSO  1k,83,product,0027-0062,34.16,1.708,32.452,True
665,AFIX  4400 BLANCO MULTIUSO  4k,83,product,0027-0063,101.11,5.0555,96.0545,True
666,AFIX  4400 BLANCO MULTIUSO 18k,83,product,0027-0060,453.22,22.661,430.559,True
667,AFIX  5500 CONTACTO     21 ml.,83,product,0019-0069,16.23,0.8115,15.4185,True
668,AFIX  5500 CONTACTO    125 ml.,83,product,0019-0062,20.16,1.008,19.152,True
669,AFIX  5500 CONTACTO    250 ml.,83,product,0019-0063,29.62,1.481,28.139,True
670,AFIX  5500 CONTACTO    500ml,83,product,0019-0064,45.3,2.265,43.035,True
671,AFIX  5500 CONTACTO   1 Lt.,83,product,0019-0065,66.09,3.3045,62.7855,True
672,AFIX  5500 CONTACTO   4 Lt.,83,product,0019-0066,217.54,10.877,206.663,True
673,AFIX  5500 CONTACTO  18 Lt.,83,product,0019-0067,923.64,46.182,877.458,True
674,AFIX  8500 BLANCO    250 gr.,83,product,0027-0046,22.82,1.141,21.679,True
675,AFIX  8500 BLANCO    500 gr.,83,product,0027-0047,33.36,1.668,31.692,True
676,AFIX  8500 BLANCO   1 Kg.,83,product,0027-0048,51.71,2.5855,49.1245,True
677,AFIX  8500 BLANCO   4 Kg.,83,product,0027-0049,152.62,7.631,144.989,True
678,AFIX  8500 BLANCO  18 Kg.,83,product,0027-0050,601.22,30.061,571.159,True
679,AFIX  9500 CARPINTERO   250 gr,83,product,0027-0051,24.34,1.217,23.123,True
680,AFIX  9500 CARPINTERO   500 gr,83,product,0027-0052,35.09,1.7545,33.3355,True
681,AFIX  9500 CARPINTERO  1 Kg.,83,product,0027-0053,55.69,2.7845,52.9055,True
682,AFIX  9500 CARPINTERO  4 Kg.,83,product,0027-0054,170.15,8.5075,161.6425,True
683,AFIX  9500 CARPINTERO 18 Kg.,83,product,0027-0055,785.18,39.259,745.921,True
684,AFIX AERO CONTAC 250ml.,83,product,0019-0076,0,0,0,True
685,AFIX AF 01 20gr. PEG.INSTANT.,83,product,0023-0024,28.49,1.4245,27.0655,True
686,AFIX AF 02 20gr. PEG.INSTANT.,83,product,0023-0025,28.49,1.4245,27.0655,True
687,AFIX FIJA TODO  TUBITO 70gr.,83,product,0020-0013,11.69,0.5845,11.1055,True
688,AFIX FIJA TODO CARTUCHO 300ml,83,product,0020-0014,35.38,1.769,33.611,True
689,AFIX   390 SELLADOR    1 Kg.,83,product,0782-0011,35.28,1.764,33.516,True
690,AFIX   390 SELLADOR    4 Kg.,83,product,0782-0012,105.3,5.265,100.035,True
691,AFIX   390 SELLADOR   18 Kg.,83,product,0782-0013,379.8,18.99,360.81,True
692,AFIX  4020 CALZADO    17 Lt.,83,product,0019-0061,787.55,39.3775,748.1725,True
693,ARTEMELT HM 1847-1 SACO 25 Kg,83,product,1262-0001,2924.5,146.225,2778.275,True
694,PROBST  4020 SUPER    17 Lt.,83,product,0019-0068,888.8,44.44,844.36,True
695,PROBST  4098 ASPREABLE CUB,83,product,0019-0075,1081.23,54.0615,1027.1685,True
696,AFIX ADH.CPVC AMAR.  60ml.TUBO,83,product,0615-0006,12.57,0.6285,11.9415,True
697,AFIX ADH.CPVC AMAR. 118ml.,83,product,0615-0007,25.91,1.2955,24.6145,True
698,AFIX ADH.CPVC AMAR. 236ml.,83,product,0615-0008,41.54,2.077,39.463,True
699,AFIX ADH.CPVC AMAR. 473ml.,83,product,0615-0009,71.6,3.58,68.02,True
700,AFIX ADH.PVC SANIT.ROJO   60ml,83,product,0616-0028,9.68,0.484,9.196,True
701,AFIX ADH.PVC SANIT.ROJO  118ml,83,product,0616-0029,20.39,1.0195,19.3705,True
702,AFIX ADH.PVC SANIT.ROJO  236ml,83,product,0616-0030,30.34,1.517,28.823,True
703,AFIX ADH.PVC SANIT.ROJO  473ml,83,product,0616-0031,50.45,2.5225,47.9275,True
704,AFIX ADH.PVC SANIT.ROJO  946ml,83,product,0616-0032,87.52,4.376,83.144,True
705,AFIX ADH.PVC WET AZUL    60ml.,83,product,0616-0033,11.68,0.584,11.096,True
706,AFIX ADH.PVC WET AZUL   118ml.,83,product,0616-0034,25.67,1.2835,24.3865,True
707,AFIX ADH.PVC WET AZUL   236ml.,83,product,0616-0035,39.47,1.9735,37.4965,True
708,AFIX ADH.PVC WET AZUL   473ml.,83,product,0616-0036,66.67,3.3335,63.3365,True
709,AFIX ADH.PVC WET AZUL   946ml.,83,product,0616-0037,119.84,5.992,113.848,True
710,AFIX LIMPIADOR PVC  500ml.,83,product,0617-0002,44.65,2.2325,42.4175,True
711,AFIX ESPUMA POLIURETANO 300ml.,83,product,0339-0012,39.15,1.9575,37.1925,True
712,AFIX ESPUMA POLIURETANO 500ml.,83,product,0339-0013,52.14,2.607,49.533,True
713,AFIX SELL.ACRILICO BCO.  310ml,83,product,0779-0145,18.4,0.92,17.48,True
714,AFIX SILICON BYC TRANSP. 280gr,83,product,0779-0144,29.03,1.4515,27.5785,True
715,AFIX SILICON NEUTRO BCO. 280gr,83,product,0779-0152,29.03,1.4515,27.5785,True
716,ESCUADRA ESQ.# 1 1” C/24pz,84,product,0329-0018,17,0.85,16.15,True
717,MENSULA ALMET # 1,84,product,0573-0001,3.23,0.1615,3.0685,True
718,MENSULA ALMET # 2,84,product,0573-0002,3.77,0.1885,3.5815,True
719,MENSULA ALMET # 3 134 X 156MM.,84,product,0573-0003,4.4,0.22,4.18,True
720,MENSULA ALMET # 4 205 X 156MM.,84,product,0573-0004,5.03,0.2515,4.7785,True
721,MENSULA ALMET # 5 205 X 255MM.,84,product,0573-0005,6.55,0.3275,6.2225,True
722,MENSULA ALMET # 6 255 X 305MM.,84,product,0573-0006,7.45,0.3725,7.0775,True
723,MENSULA ALMET BLANCA # 2,84,product,0573-0007,2.76,0.138,2.622,True
724,MENSULA ALMET BLANCA # 3,84,product,0573-0008,3.54,0.177,3.363,True
725,MENSULA ALMET BLANCA # 4,84,product,0573-0009,5.1,0.255,4.845,True
726,MENSULA ALMET BLANCA # 5,84,product,0573-0010,6.62,0.331,6.289,True
727,MENSULA ALMET BLANCA # 6,84,product,0573-0011,10.05,0.5025,9.5475,True
728,PISTOLA P/CALAF C/CREMALL. C-1,84,product,0653-0007,37.49,1.8745,35.6155,True
729,PISTOLA P/CALAF ESQUELET.IMP50,84,product,0653-0008,21.25,1.0625,20.1875,True
730,PRENSA ALMET PA-2   2 1/2,84,product,0681-0014,49.5,2.475,47.025,True
731,PRENSA ALMET PNA-4  2 1/2,84,product,0681-0015,60.45,3.0225,57.4275,True
732,ABRAZADERA ARDA    004 MINI,85,product,0002-0001,2.48,0.124,2.356,True
733,ABRAZADERA ARDA    006 MINI,85,product,0002-0002,2.58,0.129,2.451,True
734,ABRAZADERA ARDA  M-006,85,product,0002-0003,4.1,0.205,3.895,True
735,ABRAZADERA ARDA  M-008,85,product,0002-0004,4.1,0.205,3.895,True
736,ABRAZADERA ARDA  M-010,85,product,0002-0005,4.1,0.205,3.895,True
737,ABRAZADERA ARDA  M-012,85,product,0002-0006,4.1,0.205,3.895,True
738,ABRAZADERA ARDA  M-016,85,product,0002-0007,4.44,0.222,4.218,True
739,ABRAZADERA ARDA  M-020,85,product,0002-0008,4.53,0.2265,4.3035,True
740,ABRAZADERA ARDA  M-024,85,product,0002-0009,4.69,0.2345,4.4555,True
741,ABRAZADERA ARDA  M-028,85,product,0002-0010,4.94,0.247,4.693,True
742,ABRAZADERA ARDA  M-032,85,product,0002-0011,5.28,0.264,5.016,True
743,ABRAZADERA ARDA  M-036,85,product,0002-0012,5.69,0.2845,5.4055,True
744,ABRAZADERA ARDA  M-040,85,product,0002-0013,7.01,0.3505,6.6595,True
745,ABRAZADERA ARDA  M-044,85,product,0002-0014,6.92,0.346,6.574,True
746,ABRAZADERA ARDA  M-048,85,product,0002-0015,7.53,0.3765,7.1535,True
747,ABRAZADERA ARDA  M-052,85,product,0002-0016,7.64,0.382,7.258,True
748,ABRAZADERA ARDA  M-056,85,product,0002-0017,11.34,0.567,10.773,True
749,ABRAZADERA ARDA  M-060,85,product,0002-0018,8.7,0.435,8.265,True
750,ABRAZADERA ARDA  M-064,85,product,0002-0019,9.23,0.4615,8.7685,True
751,ABRAZADERA ARDA  M-072,85,product,0002-0020,9.71,0.4855,9.2245,True
752,ABRAZADERA ARDA  M-080,85,product,0002-0021,14.09,0.7045,13.3855,True
753,ABRAZADERA ARDA  M-088,85,product,0002-0022,10.89,0.5445,10.3455,True
754,ABRAZADERA ARDA  M-096,85,product,0002-0023,12.02,0.601,11.419,True
755,ABRAZADERA ARDA  M-104,85,product,0002-0024,12.54,0.627,11.913,True
756,ABRAZADERA LEGION   04 MINI,85,product,0002-0056,2.24,0.112,2.128,True
757,ABRAZADERA LEGION   06 MINI,85,product,0002-0057,2.3,0.115,2.185,True
758,ABRAZADERA LEGION 25PZ.   M-06,85,product,0002-0059,2.64,0.132,2.508,True
759,ABRAZADERA LEGION 25PZ.   M-08,85,product,0002-0060,2.68,0.134,2.546,True
760,ABRAZADERA LEGION 25PZ.   M-12,85,product,0002-0061,2.68,0.134,2.546,True
761,ABRAZADERA LEGION M-06,85,product,0002-0065,3.53,0.1765,3.3535,True
762,ABRAZADERA LEGION M-08,85,product,0002-0066,3.53,0.1765,3.3535,True
763,ABRAZADERA LEGION M-10,85,product,0002-0067,3.53,0.1765,3.3535,True
764,ABRAZADERA LEGION M-12,85,product,0002-0068,3.53,0.1765,3.3535,True
765,ABRAZADERA LEGION M-16,85,product,0002-0069,3.59,0.1795,3.4105,True
766,ABRAZADERA LEGION M-20,85,product,0002-0070,3.76,0.188,3.572,True
767,ABRAZADERA LEGION M-24,85,product,0002-0071,3.93,0.1965,3.7335,True
768,ABRAZADERA LEGION M-28,85,product,0002-0072,4.12,0.206,3.914,True
769,ABRAZADERA LEGION M-32,85,product,0002-0073,4.41,0.2205,4.1895,True
770,ABRAZADERA LEGION M-36,85,product,0002-0074,4.7,0.235,4.465,True
771,CONEXION COMP.ARDA 1/2” C/GARR,85,product,0543-0002,16.24,0.812,15.428,True
772,CONEXION COMP.ARDA 1/2” S/GARR,85,product,0543-0003,12.76,0.638,12.122,True
773,CONEXION HEMBRA ARDA 1/2”  C/G,85,product,0543-0004,10.16,0.508,9.652,True
774,CONEXION HEMBRA ARDA 1/2”  S/G,85,product,0543-0005,7.78,0.389,7.391,True
775,CONEXION HEMBRA ARDA 3/4”  C/G,85,product,0543-0006,9.78,0.489,9.291,True
776,RASTRILLO ARDA AGRIC.14 DTES.,85,product,0711-0001,67.1,3.355,63.745,True